treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),pre_rank,plr,lgbm,411,0.006361222355620682,0.009230252736493881,0.6891709834195718,0.49071567453977616,-0.011729740576109603,0.024452185287350967,,1.874412507235879e-15,4.100079219726947e-16,6.491874603664627e-06
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),pre_rank,plr,rf,411,0.0007250026988362018,0.0007451277862205899,0.9729910925930358,0.33055772914083326,-0.0007354209260362152,0.002185426323708619,,1.874412507235879e-15,4.100079219726947e-16,6.491874603664627e-06
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),pre_rank,plr,lgbm,416,0.013354290600524423,0.03148518151166413,0.42414526324319074,0.6714598770479541,-0.04835553120904365,0.07506411241009249,,-1.6938280050767565e-14,1.284697719470043e-15,0.0
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),pre_rank,plr,rf,416,-0.00857740745679554,0.007136721099772527,-1.2018695051805979,0.22941409101324928,-0.02256512378005678,0.0054103088664657,,-1.6938280050767565e-14,1.284697719470043e-15,0.0
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),pre_rank,plr,lgbm,416,0.00019392621938470227,0.0008033462367947186,0.24139805541188686,0.8092466197527081,-0.0013806034718487322,0.0017684559106181368,,-1.5459772024509566e-14,1.531528665056575e-15,0.0
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),pre_rank,plr,rf,416,-1.6796161446116756e-05,0.00014627635654324884,-0.11482485511013336,0.9085839478272751,-0.00030349255206062436,0.00026990022916839086,,-1.5459772024509566e-14,1.531528665056575e-15,0.0
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),pre_rank,plr,lgbm,416,0.018592527584370185,0.027429281481218367,0.6778350208371675,0.4978763034882915,-0.03516787624062928,0.07235293140936966,,-3.5831182058794175e-15,1.122843994480406e-15,0.0015297027065415136
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),pre_rank,plr,rf,416,0.015918662264803003,0.007951220664866143,2.0020400559554825,0.04528042365482147,0.0003345561285347347,0.031502768401071274,**,-3.5831182058794175e-15,1.122843994480406e-15,0.0015297027065415136
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),pre_rank,plr,lgbm,416,0.0024719287104540506,0.04607719381591055,0.05364755328482024,0.9572159689940576,-0.08783771167740233,0.09278156909831044,,-1.0033260069465477e-14,4.015086689397061e-15,0.012860475017127726
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),pre_rank,plr,rf,416,0.012298742764984605,0.012330016332620292,0.997463623178426,0.31853952238343486,-0.011867645175741803,0.036465130705711016,,-1.0033260069465477e-14,4.015086689397061e-15,0.012860475017127726
